SbjNum,Bank Ever used,Other Banks Ever used,Banks Currently Used,Bank Most Often Used,AB Bank Zambia Limited,Access Bank Zambia Limited,BancABC Zambia Limited,Bank of China (Zambia) Limited,Barclays Bank Zambia Plc,Cavmont Bank,Citibank Zambia Limited,Ecobank Zambia Limited,Finance Bank Zambia Limited,First Alliance Bank Zambia Limited,First National Bank of Zambia Limted (FNB),Indo-Zambia Bank Limited,Intermarket Bank,International Commercial Bank,Investrust Bank Plc,Stanbic Bank Zambia Limited,Standard Chartered Bank Zambia Plc,United Bank for Africa Zambia Limited,ZANACO (Zambia National Commercial Bank Plc),Bank of Zambia,{0},None
60581151,"Barclays Bank Zambia Plc,First National Bank of Zambia Limted (FNB),ZANACO (Zambia National Commercial Bank Plc)", ,First National Bank of Zambia Limted (FNB),First National Bank of Zambia Limted (FNB),,,,,Satisfied,,,,,,Satisfied,,,,,,,,Dissatisfied,,,
60581524,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60582292,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60582293,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60582294,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60582407,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60582408,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60582409,First National Bank of Zambia Limted (FNB), ,First National Bank of Zambia Limted (FNB),First National Bank of Zambia Limted (FNB),,,,,,,,,,,Very satisfied,,,,,,,,,,,
60582410,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60582411,Stanbic Bank Zambia Limited, ,Stanbic Bank Zambia Limited,Stanbic Bank Zambia Limited,,,,,,,,,,,,,,,,Satisfied,,,,,,
60582629,"Barclays Bank Zambia Plc,First National Bank of Zambia Limted (FNB)", ,First National Bank of Zambia Limted (FNB),First National Bank of Zambia Limted (FNB),,,,,Satisfied,,,,,,Dissatisfied,,,,,,,,,,,
60583044,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Satisfied,,,
