SbjNum,Mobile Money Providers/MSP Awareness,Mobile Money Providers/MSP registered with or Used',Q64.      Other Mobile Money Providers/MSP registered with or Used',Airtel (Airtel Money),MTN (MTN Mobile Money),Zamtel,Zoona,Zanaco (Zapit),FNB (ewallet),Shoprite,Zampost,{0},None,Airtel (Airtel Money),Ever Used Airtel (Airtel Money),MTN (MTN Mobile Money),Ever Used MTN (MTN Mobile Money),Zamtel,Ever Used Zamtel,Zoona,Ever Used Zoona,Zanaco (Zapit),Ever Used Zanaco (Zapit),FNB (ewallet),Ever Used FNB (ewallet),Shoprite,Ever Used Shoprite,Zampost,Ever Used Zampost,{0},Ever Used {0},None,None,#N/A,Airtel (Airtel Money),MTN (MTN Mobile Money),Zamtel,Zoona,Zanaco (Zapit),FNB (ewallet),Shoprite,Zampost,{0},None
60525354,Yes,Airtel (Airtel Money), ,Yes,,,,,,,,,,"Recharged your airtime,Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,Satisfied,,,,,,,,,
60525355,Yes,Zoona, ,,,,No,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60525356,Yes,"Airtel (Airtel Money),Zoona", ,Yes,,,No,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60525357,Yes,"Airtel (Airtel Money),Zoona", ,Yes,,,Yes,,,,,,,"Recharged your airtime,Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,Recharged your airtime, ,, ,, ,, ,, ,, ,, ,,Satisfied,,,Extremely satisfied,,,,,,
60526753,Yes,"Zoona,Zanaco (Zapit)", ,,,,Yes,Yes,,,,,,, ,, ,, ,"Paid a bill,Withdrawn money,Online shopping,Sent money to a bank account", ,, ,, ,, ,, ,, ,, ,,,,,Satisfied,Satisfied,,,,,
60528190,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Extremely dissatisfied
60528191,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Extremely dissatisfied
60528192,Yes,Zanaco (Zapit), ,,,,,Yes,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,Extremely satisfied,,,,,
60528193,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zanaco (Zapit)", ,No,No,,,Yes,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60528194,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zoona", ,No,No,,No,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
